Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Josh Perkins,387,ATL,1,TE,1,47,2,,25,8,11,1,0.541,4,3,32.63,9.13,12,4.65,34,126,7.04,4.38
Brian Poole,388,ATL,23,CB,1,49,1,,36,8,31,3,0.541,1,3,,,,4.5,29,112,7.14,4.43
Nick Rose,389,ATL,0,K,1,51,1,,5,8,1,1,0.54,4,3,,,,,,,,
Brandon Wilds,390,ATL,0,RB,1,42,2,,28,8,20,2,0.54,5,3,32,10.25,21,4.54,36.5,118,7.08,4.33
Jeremy Cash,391,CAR,1,S,1,44,2,,6,8,20,0,0.547,5,0,32.38,10.5,,,,,,
Jared Norris,392,CAR,2,LB,1,41,2,,28,8,34,7,0.547,5,0,31.5,10.13,19,4.8,29.5,114,,4.52
Ken Crawley,393,NO,10,CB,1,48,1,,34,8,31,0,0.542,2,2,30.5,9,7,4.43,36.5,119,6.81,4.3
Trae Elston,394,NO,1,S,1,50,1,,23,8,20,1,0.54,4,2,29.13,8.88,,4.5,34.5,119,7.34,4.5
Jake Lampman,395,NO,0,WR,4,48,2,,65,8,31,1,0.54,5,2,,,,,,,,
Tommylee Lewis,396,NO,3,WR,2,49,2,,65,8,31,1,0.542,2,2,29.38,8.13,11,4.48,34,120,7.13,4.22
Mitchell Loewen,397,NO,0,DE,1,36,2,,23,8,19,1,0.542,5,2,34.13,9.88,30,,,,,
Landon Turner,398,NO,1,G,1,49,2,,8,8,14,4,0.542,4,2,32.88,10.38,30,5.58,19,88,,
Peyton Barber,399,TB,14,RB,1,19,0,,15,8,20,1,0.54,4,10,30.25,9.38,20,4.64,32.5,111,7.3,4.21
Alan Cross,400,TB,0,TE,2,49,2,,25,8,11,0,0.495,4,10,31.75,9.25,17,4.84,30.5,109,7.44,4.58
Javien Elliott,401,TB,6,CB,1,12,1,,40,8,31,3,0.54,2,10,29.5,8.63,,4.63,34.5,116,7.18,4.39
Russell Hansbrough,402,TB,0,RB,1,48,1,,36,8,20,1,0.54,5,10,,,,,,,,
Isaiah Johnson,403,TB,3,CB,1,45,2,,39,8,31,3,0.541,4,10,,,,,,,,
Davonte Lambert,404,TB,3,DT,1,43,4,,28,8,23,5,0.54,2,10,,,,,,,,
Cassanova McKinzy,405,TB,0,LB,1,47,1,,32,8,34,8,0.543,5,10,31.25,9.88,21,4.83,,118,7.5,4.37
Luke Rhodes,406,TB,11,LB,3,47,1,,42,8,34,8,0.54,2,10,29.88,10.13,29,4.73,35,118,7.13,4.32
Channing Ward,407,TB,1,DT,1,51,1,,28,8,23,5,0.54,2,10,31.5,9.13,,4.76,26.5,105,7.46,4.59
Leonard Wester,408,TB,3,T,1,40,1,,31,8,20,0,0.547,4,10,34,9.63,20,5.17,29,108,7.92,4.73
Kameron Canaday,409,ARZ,3,LS,3,41,1,,1,8,1,0,0.54,2,0,33.13,9.38,12,5.16,33,113,,4.63
Matthias Farley,410,ARZ,9,S,1,52,2,,24,8,20,6,0.54,3,0,31.38,9.75,21,4.5,33,120,7.13,4.3
